State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,16/04/2025,7500,10000,8500
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies","1st Sort",FAQ,16/04/2025,7500,11500,11000
Bihar,Bhojpur,Aarah,Potato,Jyoti,FAQ,16/04/2025,1500,1700,1600
Gujarat,Amreli,Damnagar,"Green Chilli","Green Chilly",FAQ,16/04/2025,1650,2550,2000
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,16/04/2025,2000,3050,2550
Gujarat,Amreli,Damnagar,Tomato,Local,Non-FAQ,16/04/2025,650,1550,1200
Gujarat,Banaskanth,Dhanera,"Cummin Seed(Jeera)",Other,FAQ,16/04/2025,15510,24500,21050
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Carrot,Carrot,FAQ,16/04/2025,200,1000,600
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Cauliflower,Cauliflower,FAQ,16/04/2025,300,900,600
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Tomato,Tomato,FAQ,16/04/2025,100,1200,650
Gujarat,Sabarkantha,Khedbrahma,Mustard,Other,FAQ,16/04/2025,5150,5500,5325
Gujarat,Sabarkantha,Khedbrahma,Wheat,Other,FAQ,16/04/2025,2450,2750,2600
Gujarat,Sabarkantha,Modasa(Tintoi),"Castor Seed","Castor seed",FAQ,16/04/2025,5700,5965,5965
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,16/04/2025,1000,1650,1450
Gujarat,Surat,Surat,"Bitter gourd",Other,FAQ,16/04/2025,2500,4500,3500
Gujarat,Surat,Surat,Cabbage,Other,FAQ,16/04/2025,500,2000,1250
Gujarat,Surat,Surat,Carrot,Other,FAQ,16/04/2025,900,2000,1450
Gujarat,Surat,Surat,Cauliflower,Other,FAQ,16/04/2025,1500,3500,2500
Gujarat,Surat,Surat,Ginger(Green),Other,FAQ,16/04/2025,1600,2800,2200
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,16/04/2025,500,1200,850
Gujarat,Surat,Surat,"Surat Beans (Papadi)",Other,FAQ,16/04/2025,4000,8000,6000
Gujarat,Surat,Surat,Tomato,Other,FAQ,16/04/2025,700,1500,1100
Haryana,Gurgaon,Gurgaon,"Bottle gourd","Bottle Gourd",FAQ,16/04/2025,800,1200,1000
Haryana,Gurgaon,Gurgaon,Tomato,Other,Non-FAQ,16/04/2025,800,1000,900
Haryana,Gurgaon,Gurgaon,"Water Melon",Other,Large,16/04/2025,1000,1200,1100
Haryana,Hissar,Uklana,Capsicum,Capsicum,FAQ,16/04/2025,1200,1200,1200
Haryana,Hissar,Uklana,Cucumbar(Kheera),Cucumbar,FAQ,16/04/2025,700,1000,1000
Haryana,Hissar,Uklana,Grapes,Other,Medium,16/04/2025,4000,4500,4500
Haryana,Hissar,Uklana,"Water Melon",Other,Medium,16/04/2025,1800,1800,1800
Haryana,Mahendragarh-Narnaul,Narnaul,"Bhindi(Ladies Finger)",Bhindi,FAQ,16/04/2025,2500,4000,3500
Haryana,Mahendragarh-Narnaul,Narnaul,"Green Chilli","Green Chilly",FAQ,16/04/2025,1500,4000,3000
Haryana,Mewat,FerozpurZirkha(Nagina),Cucumbar(Kheera),Cucumbar,FAQ,16/04/2025,1600,2000,1800
Haryana,Mewat,FerozpurZirkha(Nagina),Tomato,Other,FAQ,16/04/2025,600,800,700
Haryana,Rohtak,Meham,Banana,Other,Medium,16/04/2025,1700,1700,1700
Haryana,Rohtak,Meham,Cabbage,Cabbage,FAQ,16/04/2025,700,700,700
Haryana,Rohtak,Meham,Grapes,Other,Medium,16/04/2025,6000,6000,6000
Haryana,Sonipat,Gohana,Apple,Apple,Large,16/04/2025,10000,12000,11000
Haryana,Sonipat,Gohana,"Banana - Green",Other,FAQ,16/04/2025,2000,3000,2500
Haryana,Sonipat,Gohana,Brinjal,Other,FAQ,16/04/2025,1500,3000,2000
Haryana,Sonipat,Gohana,Grapes,Other,Large,16/04/2025,5000,7000,6000
Haryana,Sonipat,Gohana,Potato,Other,Non-FAQ,16/04/2025,600,2000,900
Haryana,"Yamuna Nagar",Chhachrauli,"Bottle gourd","Bottle Gourd",FAQ,16/04/2025,500,700,500
Haryana,"Yamuna Nagar",Chhachrauli,Potato,Potato,FAQ,16/04/2025,800,1400,800
Haryana,"Yamuna Nagar",Chhachrauli,Pumpkin,Pumpkin,FAQ,16/04/2025,500,600,500
"Himachal Pradesh",Bilaspur,Bilaspur,"Bhindi(Ladies Finger)",Bhindi,FAQ,16/04/2025,4500,5500,5000
"Himachal Pradesh",Bilaspur,Bilaspur,"Karbuja(Musk Melon)",Other,Medium,16/04/2025,2500,3500,3000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Cucumbar(Kheera),Cucumbar,FAQ,16/04/2025,1800,2300,2000
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Karbuja(Musk Melon)",Karbhuja,Medium,16/04/2025,3000,3500,3200
"Himachal Pradesh",Kangra,Kangra(Baijnath),Raddish,Other,FAQ,16/04/2025,1700,1800,1700
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Water Melon",Other,Medium,16/04/2025,2100,2200,2200
"Himachal Pradesh",Kangra,Palampur,Cucumbar(Kheera),Other,FAQ,16/04/2025,1600,2000,1800
"Himachal Pradesh",Kangra,Palampur,Ginger(Green),Other,FAQ,16/04/2025,6000,6500,6200
"Himachal Pradesh",Kangra,Palampur,Mashrooms,Other,FAQ,16/04/2025,12000,15000,13500
"Himachal Pradesh",Kangra,Palampur,"Mousambi(Sweet Lime)",Other,Medium,16/04/2025,5500,5800,5600
"Jammu and Kashmir",Anantnag,Kulgam,Lemon,Lemon,FAQ,16/04/2025,7500,8500,8000
"Jammu and Kashmir",Anantnag,Kulgam,"Water Melon","Water Melon",Large,16/04/2025,2400,2500,2450
Karnataka,Bangalore,Ramanagara,Beans,"Beans (Whole)",FAQ,16/04/2025,5000,7200,6400
Karnataka,Bangalore,Ramanagara,Beetroot,Beetroot,FAQ,16/04/2025,1400,1800,1600
Karnataka,Bangalore,Ramanagara,Cauliflower,Cauliflower,FAQ,16/04/2025,2000,2800,2500
Karnataka,Bangalore,Ramanagara,Snakeguard,Snakeguard,FAQ,16/04/2025,2300,3000,2800
Karnataka,Madikeri(Kodagu),Madikeri,Arecanut(Betelnut/Supari),Raw,FAQ,16/04/2025,25000,41142,25000
Karnataka,Madikeri(Kodagu),Madikeri,"Black pepper",Malabar,FAQ,16/04/2025,30026,49346,49029
Karnataka,Shimoga,Shimoga,Beans,"Beans (Whole)",FAQ,16/04/2025,6000,7000,6500
Karnataka,Shimoga,Shimoga,"Bengal Gram(Gram)(Whole)",Jawari/Local,FAQ,16/04/2025,5600,6300,5950
Karnataka,Shimoga,Shimoga,Drumstick,Drumstick,FAQ,16/04/2025,1000,1200,1100
Karnataka,Shimoga,Shimoga,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,16/04/2025,3600,5200,4400
Kerala,Alappuzha,Aroor,Ashgourd,Other,FAQ,16/04/2025,2500,2700,2600
Kerala,Alappuzha,Aroor,Beetroot,Other,FAQ,16/04/2025,4800,5000,4900
Kerala,Alappuzha,Aroor,Cucumbar(Kheera),Other,FAQ,16/04/2025,3700,3900,3800
Kerala,Alappuzha,Aroor,Drumstick,Other,FAQ,16/04/2025,4000,4200,4100
Kerala,Alappuzha,Aroor,Garlic,Other,FAQ,16/04/2025,13400,13600,13500
Kerala,Alappuzha,Aroor,"Green Chilli",Other,FAQ,16/04/2025,4500,4700,4600
Kerala,Alappuzha,Aroor,Pumpkin,Other,FAQ,16/04/2025,2500,2700,2600
Kerala,Alappuzha,Harippad,Brinjal,Other,FAQ,16/04/2025,4000,4500,4000
Kerala,Ernakulam,Piravam,Cauliflower,Other,FAQ,16/04/2025,4000,6000,5000
Kerala,Ernakulam,Piravam,Coriander(Leaves),Other,FAQ,16/04/2025,22000,24000,23000
Kerala,Ernakulam,Piravam,Cowpea(Veg),Other,FAQ,16/04/2025,5000,6000,5500
Kerala,Ernakulam,Piravam,Ginger(Green),Other,FAQ,16/04/2025,6000,8000,7000
Kerala,Ernakulam,Piravam,"Little gourd (Kundru)",Other,FAQ,16/04/2025,4000,6000,5000
Kerala,Ernakulam,Piravam,Mango,Other,Large,16/04/2025,5000,6000,5500
Kerala,Ernakulam,Piravam,Onion,Big,FAQ,16/04/2025,3000,4000,3500
Kerala,Ernakulam,Piravam,"Water Melon","Water Melon",Large,16/04/2025,3000,4000,3500
Kerala,Ernakulam,Thrippunithura,"Bitter gourd","Bitter Gourd",FAQ,16/04/2025,6500,8000,6700
Kerala,Ernakulam,Thrippunithura,Cabbage,Cabbage,FAQ,16/04/2025,3000,4000,3200
Kerala,Ernakulam,Thrippunithura,Capsicum,Capsicum,FAQ,16/04/2025,7000,10000,8000
Kerala,Ernakulam,Thrippunithura,Carrot,Carrot,FAQ,16/04/2025,4000,5000,4200
Kerala,Ernakulam,Thrippunithura,Drumstick,Drumstick,FAQ,16/04/2025,4000,6000,4500
Kerala,Ernakulam,Thrippunithura,Lemon,Other,FAQ,16/04/2025,12000,16000,12500
Kerala,Kannur,"Koodali  VFPCK",Cucumbar(Kheera),Cucumbar,FAQ,16/04/2025,2000,2000,2000
Kerala,Kannur,Payyannur,Arecanut(Betelnut/Supari),Other,FAQ,16/04/2025,37000,39000,38000
Kerala,Kannur,Payyannur,Banana,Other,Large,16/04/2025,5700,5900,5800
Kerala,Kasargod,Manjeswaram,Arecanut(Betelnut/Supari),Other,FAQ,16/04/2025,35000,37000,36000
Kerala,Kasargod,Manjeswaram,"Banana - Green",Other,FAQ,16/04/2025,7000,8000,7500
Kerala,Kasargod,Manjeswaram,Beetroot,Beetroot,FAQ,16/04/2025,4000,5500,4750
Kerala,Kasargod,Manjeswaram,"Bhindi(Ladies Finger)",Bhindi,FAQ,16/04/2025,9000,10000,9500
Kerala,Kasargod,Manjeswaram,"Bottle gourd","Bottle Gourd",FAQ,16/04/2025,2000,3500,2750
Kerala,Kasargod,Manjeswaram,"Coconut Seed",Other,FAQ,16/04/2025,5000,5600,5300
Kerala,Kasargod,Manjeswaram,Copra,Copra,FAQ,16/04/2025,14000,16000,15000
Kerala,Kasargod,Manjeswaram,Cucumbar(Kheera),Cucumbar,FAQ,16/04/2025,3000,4000,3500
Kerala,Kollam,Anchal,Banana,Palayamthodan,Medium,16/04/2025,3500,3700,3600
Kerala,Kollam,Anchal,Banana,Poovan,Medium,16/04/2025,7500,7700,7600
Kerala,Kollam,Anchal,Cabbage,Other,FAQ,16/04/2025,4500,4700,4600
Kerala,Kollam,Anchal,Tomato,Hybrid,FAQ,16/04/2025,2500,2700,2600
Kerala,Kottayam,Athirampuzha,Ashgourd,Ashgourd,FAQ,16/04/2025,1500,1700,1600
